473;אבו סנאן;769.667;58.03;77.94;1.694
182;אבן יהודה;686;52.35;46.38;1.031
2710;אום אל-פחם;3386.33;65.2;110.93;1.215
31;אופקים;1675;65.44;68.52;0.967
2400;אור יהודה;2683.67;74.47;66.58;0.745
1020;אור עקיבא;1438.67;84.78;67.7;1.035
565;אזור;855.667;70.5;56.37;1.124
2600;אילת;2798.67;56.81;57.76;0.654
478;אכסאל;831.333;61.32;104.07;2.362
1309;אלעד;598.333;13.53;60.41;1.83
529;אעבלין;715;56.86;82.1;1.936
3570;אריאל;1169.33;62.91;56.39;0.956
70;אשדוד;16056.33;73.3;60.46;0.278
7100;אשקלון;9666.33;75.04;56.51;0.335
6000;באקה אל-גרביה;1852.33;66.58;102.23;1.472
2530;באר יעקב;765;41.76;53.98;1.175
9000;באר שבע;15261.33;75.39;57.61;0.272
480;בית ג'ן;488;43.01;59.22;1.58
9200;בית שאן;1142.67;65.88;64.6;1.117
2610;בית שמש;2633;25.99;55.25;0.646
3780;ביתר עילית;544;11.29;57.61;1.902
6100;בני ברק;6731.67;37.27;55.9;0.396
9800;בנימינה-גבעת עדה*;478;32.56;37.41;1.008
6200;בת ים;13301.33;103.3;60.32;0.316
3730;גבעת זאב;542.333;34.75;45.66;1.213
681;גבעת שמואל;1120.33;44.95;44.94;0.78
6300;גבעתיים;3437;60.06;41.08;0.422
1292;ג'דיידה-מכר;1164.33;58.49;87.58;1.607
2550;גדרה;1232.33;47.28;50.74;0.84
166;גן יבנה;1028.33;46.48;60.7;1.171
229;גני תקווה;878;55.11;48.67;0.963
541;ג'סר א-זרקא;952;68.87;138.12;3.122
628;ג'ת;750.333;67.93;92.44;2.063
494;דאלית אל-כרמל;968;58.13;71.75;1.408
490;דייר אל-אסד;562.333;48.48;82.45;2.128
2200;דימונה;2878;86.54;75.44;0.815
9700;הוד השרון;2944.33;53.06;45;0.483
6400;הרצלייה;6146.33;67.27;43.54;0.33
9300;זכרון יעקב;988.333;44.51;44.24;0.823
6500;חדרה;7147;81.18;61.71;0.426
6600;חולון;15472.33;82.19;57.82;0.274
1303;חורה;377.333;19.76;70.84;2.377
4000;חיפה;21405.33;77.15;47.78;0.197
6700;טבריה;2851.67;67.12;55.54;0.604
498;טורעאן;640.333;48.63;79.52;1.917
2730;טייבה;2843;70.08;103.34;1.192
2720;טירה;1654.33;67.11;87.41;1.303
2100;טירת כרמל;1766.67;91.8;69.8;0.967
8900;טמרה;1807.33;56.46;87.4;1.276
2660;יבנה;2476.33;60.76;59.57;0.72
9400;יהוד;1929;66.99;52.95;0.707
499;יפיע;1099.67;60.86;88.53;1.631
240;יקנעם עילית;1218.67;57.27;58.51;0.978
3000;ירושלים;38538;44.96;53.38;0.158
502;ירכא;715;44.24;66.86;1.472
504;כאבול;725;55.33;91.06;2.126
1059;כסיפה;440.667;23.37;65.65;2.04
168;כפר יונה;990;46.24;54.61;1.068
509;כפר כנא;1115.67;52.99;86.71;1.622
510;כפר מנדא;754.333;41.26;85.3;1.947
6900;כפר סבא;6490.67;67.99;47.34;0.348
634;כפר קאסם;1296.67;59.97;108.95;1.929
654;כפר קרע;1198.33;68.36;99.12;1.778
1139;כרמיאל;3982;88.82;61.23;0.57
7000;לוד;5554.67;76.58;69.49;0.541
1060;לקיה;445.667;38.66;107.09;3.493
1015;מבשרת ציון;1218;49.92;41.49;0.713
481;מגאר;1113;51.79;82.43;1.504
516;מג'ד אל-כרום;614.667;42.08;70.38;1.737
874;מגדל העמק;1952;78.42;63.91;0.841
4201;מג'דל שמס;752.667;71.23;88.99;1.928
3797;מודיעין עילית;510.333;8.02;54.34;1.831
1200;מודיעין-מכבים-רעות*;2878.67;32.78;45.56;0.518
28;מזכרת בתיה;559;45.5;55.34;1.464
3616;מעלה אדומים;1661.67;44.38;47.97;0.691
1327;מעלה עירון;937.667;66.99;106.14;2.183
1063;מעלות-תרשיחא;1643.33;77.62;62.8;0.898
9100;נהרייה;4668.67;86.28;60.8;0.522
522;נחף;687.333;57.23;108.34;2.584
7200;נס ציונה;2339.33;50.44;47.08;0.567
7300;נצרת;5524.67;73.5;86.42;0.682
1061;נצרת עילית;4026.33;99.94;63.19;0.59
2500;נשר;1738;74.03;52.06;0.732
246;נתיבות;1400.33;45.35;65.29;1.017
7400;נתניה;15127.67;73.88;52.72;0.254
7500;סח'נין;1566.33;54.09;87.94;1.366
532;עין מאהל;653.333;52.83;90.02;2.245
7600;עכו;4231;88.92;72.56;0.647
534;עספיא;690.333;58.85;67.8;1.526
7700;עפולה;3384;75.96;58.22;0.584
531;עראבה;1249.33;52.56;93.53;1.642
2560;ערד;2261.33;92.77;71.15;0.886
637;ערערה;1176;49.45;71.07;1.254
1192;ערערה-בנגב;409;26.28;91.58;2.953
537;פוריידיס;788.333;64.4;99.91;2.252
7800;פרדס חנה-כרכור;2216.67;59.17;54.87;0.675
7900;פתח תקווה;16180.33;70.96;55.02;0.254
8000;צפת;1461;44.04;47.19;0.715
195;קדימה-צורן;657.333;32.8;41.18;0.981
638;קלנסווה;1468.67;69.1;122.48;2.045
2620;קריית אונו;2061.33;55.48;44.5;0.573
6800;קריית אתא;4753.33;86.53;63.51;0.539
9500;קריית ביאליק;3574.33;91.61;58.03;0.579
2630;קריית גת;3887;76.21;64.91;0.604
2300;קריית טבעון;1090;61.68;40.17;0.726
9600;קריית ים;4309.33;110.24;64.59;0.593
8200;קריית מוצקין;3912.33;98.02;59.92;0.576
1034;קריית מלאכי;1451.67;67.55;69.47;1.063
469;קריית עקרון;758;70.6;62.56;1.323
2800;קריית שמונה;1573;68.21;58.43;0.855
2640;ראש העין;2607.33;60.84;63.89;0.743
8300;ראשון לציון;17326;71.48;51.96;0.231
1161;רהט;1874.67;30.5;91.43;1.394
8400;רחובות;8133.67;62.26;49.78;0.325
542;ריינה;889.333;48.69;72.07;1.485
922;רכסים;300.333;28.41;55.55;1.924
8500;רמלה;5566.33;76.61;71.13;0.552
8600;רמת גן;9638;63.53;42.03;0.256
2650;רמת השרון;2644;59.67;39.62;0.459
8700;רעננה;4030.67;57.18;40.27;0.376
1031;שדרות;1672.33;73.23;68.01;0.961
1304;שוהם;703.667;34.85;46.77;1.137
8800;שפרעם;2405.33;60.7;77.28;0.939
5000;תל אביב -יפו;25795.33;60.09;45.3;0.166
154;תל מונד;562.333;47.63;62.55;1.623
1054;תל שבע;622.667;33.9;111.73;3.027